iter	RMSE
0	1.478139259
1	1.40305599
2	1.3343665853	1.271580943
444	1.2021410345	1.1464429436	1.098649722
7	1.046566233
8	0.9974596858
9	0.9514881844
10	0.907773049
11	0.8664200257
12	0.8271687277
13	0.7885234864
14	0.7539880008
15	0.7204142303
16	0.6889495961
17	0.660171858
18	0.6319153544
19	0.6048442705
20	0.5796187973
21	0.5539425159
22	22	0.5315084223	0.5087770404
24	0.4875243547
25	0.468071145
26	0.4493368979
27	0.4320628099
28	0.4151324951
29	0.3994473046
30	0.384197539
31	0.3695038827
32	0.3552656309
33	0.3421228754
34	0.3296193875
35	0.317605394
36	0.3061127048
37	0.2948102871
38	0.2844983499
39	0.2748592347
40	0.2655635286
41	0.2565228911
42	0.2480102589
43	0.239317195
44	0.2315751111
45	0.224134494
46	0.2168705963
47	0.2101294346
48	0.2033610772
49	0.1970321655
50	0.1909385556
51	0.1849076638
52	0.1792412827
53	0.1738601214
54	0.1688934544
55	0.1641710046
56	0.1593896488
57	0.1550525321
58	0.1506204688
59	0.1464868152
60	0.1425100304
61	0.1389168547
62	0.1355012048
63	0.1319585281
64	0.128834896
65	0.1256357723
66	0.1225747846
67	0.1197344688
68	0.1168541329
69	069	0.1148214962
70	0.112316504
71	0.1099772	0.172	0.1076200086
73	0.1055023883
74	0.103454257
75	0.1014591292
76	0.09963671693
77	0.09783284568
78	0.09628869422
79	0.09459499156
80	0.0932763501
81	0.09189897189
82	0.09053539248
83	0.08923765285
84	0.08796683691
85	0.08678816215
86	0.08568804341
87	0.08473513849
88	0.08384120875
89	0.08283195692
90	0.08202038757
91	0.08123504307
92	0.08041063751
93	0.07968687181
94	0.07904458052
95	0.07842546319
96	0.07787779547
97	0.07734335293
98	0.0768098982
99	0.0762375358
100	0.07575147819
101	0.07533972684
102	0.07495120046
103	0.0745543668
104	0.07418829812
105	0.07370318406
106	0.07337057162
107	0.07295102922
108	0.07264945014
109	0.07232445302
110	0.07204806419
111	0.07175786262
112	0.07146382654
113	0.07115374091
114	0.07086937104
115	0.07065224251
116	0.07043023328
117	0.07015768342
118	0.06989020863
119	0.0696929778
120	0.06939625787
121	0.06923008332
122	0.06900493531
123	0.06881343839
124	0.06862149082
125	0.06837069908
126	0.06814048046
127	0.0679452128
128	0.06778121129
129	0.06762367867
130	0.06743458959
131	0.06724017543
132	0.06705226994
133	0.06693216878
134	0.06671178203
135	0.06657580538
136	0.06639674835
137	0.06623186105
138	0.06602948175
139	0.06586506359
140	0.06563031231
141	0.06550087579
142	0.06533997489
143	0.06522083474
144	0.06510062383
145	0.06492402904
146	0.06481959175
147	0.06464752898
148	0.06450243026
149	0.06439115184
150	0.06427055847
151	0.06417152827
152	0.06407761966
153	0.06398570115
154	0.06383259594
155	0.06371773569
156	0.06351486502
157	0.063414109
158	0.0632406821
159	0.06308795615
160	0.06298468161	0.06552554068
162	0.06538673717
163	0.06526911099
164	0.06513210139
165	0.06504601429
166	0.06493416382
167	0.06485773633
168	0.06475394457
169	0.06466730992
170	0.06457810313
171	0.06443970586
172	0.06435108882
173	0.06424305679
174	0.06410476825
175	0.06401423118
176	0.0639160975
177	0.06381628749
178	0.06372573005
179	0.06364460163
180	0.06357098239
181	0.06347501402
182	0.06338305635
183	0.06330359451
184	0.06322616097
185	0.0631478181
186	0.06302682594
187	0.06295246645
188	0.06286076453
189	0.06278382628
190	0.06269446666
191	0.06260581424
192	0.06248315149
193	0.06241466951
194	0.0623482448
195	0.06227002956
196	0.06220547498
197	0.06212921945
198	0.06205258711
199	0.06199305152
200	0.06190094282
201	0.06182200046
202	0.06174793923
203	0.06169244655
204	0.06162798507
205	0.06154152489
206	0.06148436254
207	0.06140107487
208	0.06133026074
209	0.06124739459
210	0.0611701423
211	0.06110446518
212	0.06102583539
213	0.06093337088
214	0.06085703449
215	0.06076098472
216	0.06069405469
217	0.06064289564
218	0.0605900318
219	0.06051667986
220	0.06044753778
221	0.0603950965
222	0.06028533082
223	0.06021628012
224	0.0601269537
225	0.06004186512
226	0.05998562468
227	0.05992663195
228	0.05987105145
229	0.05982311723
230	0.0597543393
231	0.0596985212
232	0.05962573465
233	0.05953884776
234	0.05944163858
235	0.05937208631
236	0.05932344082
237	0.05926985501
238	0.05922743062
239	0.05915609293
240	0.05912294336
241	0.05906067766
242	0.05902184898
243	0.05896800443
244	0.05892605127
245	0.05882905908
246	0.05875736756
247	0.05868815262
248	0.05863956094
249	0.05855253089
250	0.0584599906
251	0.05839412059
252	0.05836038094
253	0.05828064895
254	0.05821017109
255	0.05814353049
256	0.05809488465
257	0.05803932791
258	0.05793880525
259	0.05787967115
260	0.05779810733
261	0.05773967207
262	0.05767804707
263	0.05755511546
264	0.0574813077
265	0.05744655201
266	0.05733024332
267	0.05724895452
268	0.05717184573
269	0.05711502708
270	0.05705921263
271	0.05698254116
272	0.05693165683
